"Palay and Corn: Volume of Production in Metric Tons by Ecosystem/Croptype, by Quarter, by Semester, by Region and by Province, 1987-2025"

"Ecosystem/Croptype","Geolocation","1987 Annual","1988 Annual","1989 Annual","1990 Annual","1991 Annual","1992 Annual","1993 Annual","1994 Annual","1995 Annual","1996 Annual","1997 Annual","1998 Annual","1999 Annual","2000 Annual","2001 Annual","2002 Annual","2003 Annual","2004 Annual","2005 Annual","2006 Annual","2007 Annual","2008 Annual","2009 Annual","2010 Annual","2011 Annual","2012 Annual","2013 Annual","2014 Annual","2015 Annual","2016 Annual","2017 Annual","2018 Annual","2019 Annual","2020 Annual","2021 Annual","2022 Annual","2023 Annual","2024 Annual","2025 Annual"
"Rainfed Palay","....Cavite",3092.00,3139.00,2054.00,7286.00,7446.00,8294.00,5782.00,4727.00,3617.00,4450.00,7699.00,4890.00,7580.00,3174.00,7515.00,6965.00,7050.00,3584.00,4900.00,2617.00,3939.00,4948.00,3746.00,3439.00,3489.00,2713.00,2804.00,1796.00,1673.00,1345.00,1389.00,1573.44,1493.85,1211.00,739.00,469.20,303.51,256.06,..
"Rainfed Palay","....Laguna",6650.00,5718.00,7780.00,6729.00,5479.00,7686.00,7300.00,2440.00,2139.00,1618.00,1724.00,724.00,1756.00,1693.00,2690.00,2167.00,1543.00,1787.00,1507.00,1550.00,1840.00,1759.00,1542.00,1616.00,1608.00,1839.00,1407.00,521.00,301.00,212.00,216.00,977.27,575.56,1883.82,3391.71,3940.37,4201.68,3493.96,..
"Rainfed Palay","....Quezon",57594.00,96324.00,103445.00,67799.00,59321.00,65855.00,63529.00,49414.00,49425.00,65755.00,54726.00,31036.00,47152.00,27954.00,45559.00,47771.00,45549.00,48647.00,50326.00,39378.00,54480.00,61361.00,59457.00,48969.00,60230.00,65062.00,65179.00,52777.00,55384.00,63518.00,67470.00,63111.25,36219.93,68238.00,75726.00,71914.50,72363.00,46657.24,..
"Rainfed Palay","....Rizal",8538.00,5373.00,4043.00,1262.00,898.00,1130.00,1126.00,1867.00,1042.00,2290.00,2859.00,2216.00,2998.00,1662.00,3261.00,3411.00,4026.00,4479.00,4537.00,3255.00,3141.00,2944.00,1780.00,1280.00,1801.00,1282.00,6228.00,5136.00,4880.00,5413.00,5577.00,2816.33,2203.65,1344.07,1643.20,1750.24,1997.64,764.99,..
"Rainfed Palay","..MIMAROPA REGION",243595.00,256592.00,225228.00,220478.00,260104.00,237867.00,219430.00,289858.00,255181.00,241629.00,255467.00,181210.00,290249.00,313708.00,311020.00,340403.00,331100.00,324775.00,297690.00,305610.00,325138.00,326718.00,334515.00,263017.00,315596.00,319034.00,307540.00,302539.00,290261.00,288861.00,314349.00,335944.25,336524.29,317125.22,345328.47,357535.74,320905.69,316990.17,..
"Rainfed Palay","....Marinduque",8782.00,9132.00,8686.00,14214.00,14528.00,11674.00,13954.00,14181.00,12452.00,18416.00,8333.00,11531.00,27246.00,26661.00,30693.00,31364.00,28573.00,23189.00,19752.00,19363.00,17976.00,14414.00,13598.00,12919.00,14919.00,10367.00,9266.00,7863.00,8381.00,7842.00,9641.00,7996.00,3841.00,7058.00,7867.00,7526.27,7270.00,7296.00,..
"Rainfed Palay","....Occidental Mindoro",117533.00,108854.00,56187.00,66903.00,91180.00,101504.00,106122.00,80586.00,81734.00,68751.00,90025.00,57084.00,84057.00,83255.00,71285.00,95780.00,102442.00,90270.00,89679.00,78512.00,91390.00,125944.00,109726.00,89033.00,106695.00,106661.00,102581.00,109137.00,110018.00,111347.00,100397.00,116128.00,117476.00,93309.00,108926.70,110122.01,67588.61,68683.35,..
"Rainfed Palay","....Oriental Mindoro",64449.00,77069.00,91438.00,78916.00,74411.00,50816.00,41186.00,47994.00,62950.00,61871.00,65421.00,58545.00,81522.00,82140.00,84655.00,83110.00,61232.00,62956.00,66112.00,73369.00,73496.00,68604.00,65439.00,58845.00,72499.00,63952.00,65867.00,56945.00,46994.00,47530.00,56312.00,58388.25,56674.29,56284.22,54861.77,55630.88,53371.46,50483.46,..
"Rainfed Palay","....Palawan",38218.00,43776.00,53780.00,45215.00,63621.00,58639.00,43877.00,135059.00,85502.00,78135.00,76344.00,48294.00,79883.00,105956.00,109987.00,116388.00,122568.00,133630.00,108802.00,119472.00,132709.00,105897.00,133043.00,88893.00,107490.00,123677.00,116589.00,114760.00,111855.00,108807.00,132324.00,137493.00,143395.00,143627.00,156758.00,166172.33,176296.75,174185.61,..
"Rainfed Palay","....Romblon",14613.00,17761.00,15137.00,15230.00,16364.00,15234.00,14291.00,12038.00,12543.00,14456.00,15344.00,5756.00,17541.00,15696.00,14400.00,13761.00,16285.00,14730.00,13345.00,14894.00,9567.00,11859.00,12709.00,13327.00,13993.00,14377.00,13237.00,13834.00,13013.00,13335.00,15675.00,15939.00,15138.00,16847.00,16915.00,18084.25,16378.88,16341.75,..
"Rainfed Palay","..REGION V (BICOL REGION)",191799.00,237838.00,216388.00,178243.00,217949.00,200934.00,169569.00,201497.00,153126.00,223695.00,199142.00,120058.00,243102.00,213410.00,217284.00,235783.00,227877.00,258529.00,259621.00,231094.00,231557.00,273323.00,305506.00,289091.00,335340.00,358110.00,371035.40,376673.00,341436.00,356588.00,379368.00,378886.80,323185.24,387922.65,373754.08,389710.93,379608.24,342644.47,..
"Rainfed Palay","....Albay",14152.00,14941.00,10395.00,9674.00,10524.00,12076.00,9862.00,18363.00,14430.00,26963.00,18502.00,16809.00,28000.00,24597.00,20392.00,29049.00,26709.00,31615.00,29835.00,24366.00,21671.00,35312.00,35534.00,35361.00,41438.00,41105.00,41775.00,41913.00,33915.00,31216.00,29635.00,28360.80,19244.28,29567.25,33806.00,32773.80,36522.90,29997.40,..
"Rainfed Palay","....Camarines Norte",9007.00,9081.00,9056.00,9344.00,10024.00,9771.00,4524.00,9261.00,6755.00,9412.00,7216.00,5190.00,11935.00,11356.00,11445.00,9603.00,7380.00,13702.00,18185.00,16829.00,15089.00,22013.00,22679.00,20134.00,25346.00,29162.00,30262.00,34471.00,29690.00,29611.00,37468.00,38255.58,30142.68,37539.85,37085.75,36135.38,36561.35,27018.56,..
"Rainfed Palay","....Camarines Sur",87758.00,105644.00,89612.00,82176.00,106731.00,103308.00,85668.00,75724.00,51278.00,93910.00,79085.00,34804.00,106196.00,82530.00,82607.00,105121.00,86084.00,92203.00,106668.00,83419.00,101054.00,107506.00,114552.00,106602.00,125819.00,128785.00,137283.80,122500.00,129410.00,144425.00,144270.00,143253.00,124461.00,166798.00,146761.00,150570.00,139548.00,134607.00,..
"Rainfed Palay","....Catanduanes",11358.00,17396.00,12647.00,12681.00,14598.00,14827.00,8128.00,14034.00,10833.00,14525.00,10421.00,4986.00,16554.00,13296.00,14642.00,10769.00,15198.00,17643.00,18721.00,22633.00,17641.00,17821.00,17062.00,17386.00,25230.00,17476.00,14383.00,17771.00,16843.00,14127.00,18270.00,17785.42,12982.97,13049.54,10286.93,12004.49,9565.60,12251.32,..
"Rainfed Palay","....Masbate",52117.00,66325.00,62271.00,37899.00,44700.00,41475.00,37790.00,58320.00,53249.00,55308.00,59082.00,47490.00,58573.00,63558.00,64547.00,59311.00,74420.00,83873.00,71308.00,65293.00,57447.00,70372.00,86671.00,88679.00,87223.00,109050.00,116734.00,126786.00,105254.00,109791.00,114036.00,113127.00,106978.31,106421.01,108762.00,116087.00,118867.80,105102.61,..
"Rainfed Palay","....Sorsogon",17407.00,24451.00,32407.00,26469.00,31372.00,19477.00,23597.00,25795.00,16581.00,23577.00,24836.00,10779.00,21844.00,18073.00,23651.00,21930.00,18086.00,19493.00,14904.00,18554.00,18655.00,20299.00,29008.00,20929.00,30284.00,32532.00,30597.60,33232.00,26324.00,27418.00,35689.00,38105.00,29376.00,34547.00,37052.40,42140.26,38542.59,33667.58,..
"Rainfed Palay","..REGION VI (WESTERN VISAYAS)",729027.00,612480.00,547457.00,436233.00,612508.00,584045.00,646325.00,621377.00,543629.00,594038.00,520413.00,414212.00,609373.00,631565.00,643772.00,741657.00,729527.00,821488.00,744944.00,788520.00,834530.00,877388.00,957834.00,782465.00,1056616.00,1135740.00,1002797.00,967432.00,943442.00,902361.00,1116782.72,1129672.45,1034142.75,1191218.07,1224707.03,1210415.51,1147525.03,850154.72,..
"Rainfed Palay","....Aklan",24661.00,23411.00,16409.00,26640.00,28437.00,27115.00,34521.00,29313.00,33715.00,39107.00,38435.00,32668.00,44402.00,45199.00,43902.00,49260.00,55599.00,62686.00,65200.00,53374.00,62518.00,55177.00,67679.00,41689.00,60207.00,59128.00,61279.00,47165.00,47211.00,43536.00,50206.00,44402.50,42750.80,53297.58,47464.86,48288.04,34178.48,31362.47,..
"Rainfed Palay","....Antique",30152.00,30799.00,25591.00,21873.00,31823.00,27812.00,32634.00,27659.00,25712.00,41235.00,41530.00,38091.00,34253.00,42782.00,38486.00,51160.00,79404.00,74885.00,76441.00,67853.00,73568.00,80930.00,87626.00,80159.00,103052.00,98213.00,105101.00,97649.00,101342.00,100503.00,110883.00,115845.00,117053.07,119889.00,121755.00,130380.76,88097.88,65320.35,..
"Rainfed Palay","....Capiz",184187.00,169331.00,145167.00,131927.00,164615.00,164684.00,192214.00,165956.00,179751.00,176515.00,161190.00,165036.00,180327.00,189683.00,191157.00,206283.00,203817.00,204259.00,210179.00,204000.00,199087.00,197192.00,246486.00,224611.00,242724.00,255146.00,224382.00,187052.00,159261.00,175956.00,234473.00,238866.00,204962.00,247925.61,266705.40,250851.00,231529.76,219832.29,..
"Rainfed Palay","....Guimaras",0.00,0.00,0.00,0.00,0.00,0.00,0.00,20485.00,22017.00,29944.00,27079.00,24876.00,31304.00,32813.00,29388.00,32359.00,28730.00,36663.00,35816.00,36247.00,32057.00,37362.00,39012.00,31415.00,36464.00,38803.00,35400.00,38383.00,29972.00,33393.00,43313.00,34421.00,35669.00,48544.00,45542.75,48369.84,37343.00,37815.50,..
"Rainfed Palay","....Iloilo",372814.00,298755.00,270805.00,186735.00,306798.00,299306.00,306262.00,279195.00,218149.00,244339.00,210685.00,113098.00,236149.00,227298.00,270941.00,324336.00,280675.00,347918.00,259353.00,324676.00,360398.00,394679.00,396145.00,285564.00,475022.00,542556.00,434750.00,453380.00,459806.00,413258.00,540260.72,553357.95,491975.88,578057.88,602108.02,601744.87,610521.31,495824.11,..
"Rainfed Palay","....Negros Occidental",117213.00,90184.00,89485.00,69058.00,80835.00,65128.00,80694.00,98769.00,64285.00,62898.00,41494.00,40443.00,82938.00,93790.00,69898.00,78259.00,81302.00,95077.00,97955.00,102370.00,106902.00,112048.00,120886.00,119027.00,139147.00,141894.00,141885.00,143803.00,145850.00,135715.00,137647.00,142780.00,141732.00,143504.00,141131.00,130781.00,145854.60,..,..
"Rainfed Palay","..NEGROS ISLAND REGION",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,122785.54,..
"Rainfed Palay","....Negros Occidental a/",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,108329.60,..
"Rainfed Palay","....Negros Oriental b/",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14350.80,..
"Rainfed Palay","....Siquijor b/",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,105.14,..
"Rainfed Palay","..REGION VII (CENTRAL VISAYAS)",70060.00,57751.00,97477.00,57294.00,76903.00,42132.00,94588.00,104384.00,114943.00,111147.00,106176.00,29807.00,92006.00,91668.00,87144.00,87787.00,49982.00,74504.00,64323.00,87627.00,84634.00,119562.00,106760.00,94651.00,117021.00,118194.00,124607.00,123756.00,119028.00,65958.00,108243.00,99741.00,66312.50,78345.08,90368.00,72890.27,92532.53,89667.70,..
"Rainfed Palay","....Bohol",63539.00,50340.00,86110.00,51785.00,70342.00,38800.00,90866.00,97179.00,103697.00,99286.00,95322.00,23509.00,80036.00,80937.00,75664.00,78383.00,41976.00,65930.00,56149.00,78764.00,75793.00,107352.00,97183.00,84900.00,101842.00,103781.00,110544.00,109970.00,107215.00,56527.00,95425.00,86078.00,55268.00,66761.08,77735.00,59648.00,76292.74,88530.34,..
"Rainfed Palay","....Cebu",3726.00,3521.00,7022.00,3484.00,3281.00,1034.00,755.00,1700.00,2041.00,2084.00,1256.00,96.00,1936.00,1002.00,921.00,835.00,396.00,563.00,417.00,597.00,588.00,760.00,806.00,803.00,1141.00,1247.00,1167.00,1070.00,528.00,411.00,728.00,1018.00,670.00,665.00,977.00,1265.54,1362.18,1137.36,..
"Rainfed Palay","....Negros Oriental",2762.00,3890.00,4052.00,1846.00,3260.00,2298.00,2967.00,5465.00,9015.00,9510.00,9386.00,6185.00,9654.00,9304.00,10362.00,8277.00,7311.00,7671.00,7553.00,8101.00,8132.00,11231.00,8458.00,8740.00,13696.00,12970.00,12716.00,12523.00,11131.00,9020.00,11804.00,12469.00,10308.50,10786.00,11336.00,11523.80,14633.08,..,..
"Rainfed Palay","....Siquijor",33.00,0.00,293.00,179.00,20.00,0.00,0.00,40.00,190.00,267.00,212.00,17.00,380.00,425.00,197.00,292.00,299.00,340.00,204.00,165.00,121.00,219.00,313.00,208.00,342.00,196.00,180.00,193.00,154.00,0.00,286.00,176.00,66.00,133.00,320.00,452.93,244.53,..,..
"Rainfed Palay","..REGION VIII (EASTERN VISAYAS)",180324.00,191554.00,169555.00,151157.00,181881.00,158270.00,152884.00,170354.00,181108.00,174712.00,187210.00,130176.00,200165.00,203139.00,218451.00,242232.00,259045.00,283539.00,300311.00,318137.00,355609.00,398735.00,378995.00,401559.00,415795.00,424722.00,435567.00,431764.00,406069.00,412160.00,412570.00,414144.86,377245.34,400127.76,351154.20,351357.26,347114.77,330956.39,..
"Rainfed Palay","....Biliran",0.00,0.00,0.00,0.00,0.00,0.00,0.00,2383.00,2816.00,2536.00,2604.00,2184.00,2861.00,3046.00,3018.00,2559.00,2195.00,2271.00,2118.00,2278.00,1594.00,1277.00,1095.00,541.00,349.00,261.00,246.00,199.00,199.00,177.00,51.00,0.00,0.00,0.00,0.00,0.00,4.02,0.00,..
"Rainfed Palay","....Eastern Samar",14543.00,20699.00,16995.00,20794.00,22778.00,21106.00,17980.00,21432.00,22663.00,21623.00,20348.00,11899.00,20913.00,22855.00,23540.00,23973.00,25340.00,27011.00,28926.00,33123.00,34418.00,34750.00,34902.00,39703.00,37897.00,41518.00,43418.00,43620.00,43140.00,42493.00,40906.00,41534.00,39534.72,33035.20,37437.50,43344.43,41299.00,44609.84,..
"Rainfed Palay","....Leyte",81453.00,65828.00,61071.00,46519.00,56040.00,50926.00,50045.00,46160.00,53648.00,52313.00,61968.00,48748.00,76814.00,79419.00,83942.00,94004.00,104965.00,120190.00,131017.00,139972.00,169801.00,174607.00,157592.00,159461.00,155150.00,153159.00,153550.00,154386.00,141442.00,134491.00,135133.00,136637.86,116246.42,117555.36,90618.16,96198.36,95383.14,89335.88,..
"Rainfed Palay","....Northern Samar",36874.00,44905.00,29834.00,39713.00,54370.00,57579.00,38357.00,44426.00,44516.00,39107.00,42052.00,39283.00,44058.00,41408.00,49775.00,58718.00,61244.00,67021.00,68887.00,70687.00,65123.00,86337.00,76523.00,82655.00,90939.00,96747.00,101229.00,102225.00,101526.00,95855.00,97316.00,94647.00,83483.20,99618.50,74485.00,72963.83,72744.51,68626.00,..
"Rainfed Palay","....Samar",35212.00,51020.00,48192.00,36811.00,39963.00,26819.00,41322.00,49253.00,49462.00,50693.00,51495.00,24892.00,47447.00,47341.00,48780.00,53455.00,55373.00,56424.00,58103.00,60889.00,73037.00,89612.00,97212.00,108243.00,121086.00,123157.00,128473.00,122930.00,111795.00,132092.00,134399.00,135587.00,133913.00,145983.10,143944.54,134637.56,133205.21,124848.67,..
"Rainfed Palay","....Southern Leyte",12242.00,9102.00,13463.00,7320.00,8730.00,1840.00,5180.00,6700.00,8003.00,8440.00,8743.00,3170.00,8072.00,9070.00,9396.00,9523.00,9928.00,10622.00,11260.00,11188.00,11636.00,12152.00,11671.00,10956.00,10374.00,9880.00,8651.00,8404.00,7967.00,7052.00,4765.00,5739.00,4068.00,3935.60,4669.00,4213.08,4478.88,3536.00,..
"Rainfed Palay","..REGION IX (ZAMBOANGA PENINSULA)",120939.00,122346.00,121373.00,127721.00,158976.00,120519.00,169619.00,115611.00,126746.00,151073.00,109508.00,98806.00,108134.00,141871.00,144398.00,167911.00,179645.00,195644.00,191841.00,168895.00,193513.00,176474.00,182621.00,176042.00,213458.00,217480.00,229575.00,232677.00,236953.00,199334.50,247055.00,282676.80,235842.50,242576.65,237678.88,232568.95,244423.29,235437.61,..
"Rainfed Palay","....Zamboanga del Norte",25253.00,34036.00,31126.00,44770.00,47649.00,18737.00,27249.00,20160.00,25035.00,36608.00,32945.00,18568.00,28494.00,28742.00,29102.00,31772.00,32589.00,36086.00,40766.00,42953.00,43510.00,37664.00,42807.00,41149.00,50768.00,45308.00,57879.00,56600.00,62404.00,44452.00,47718.00,64601.90,47562.67,52040.52,51661.96,52084.67,51970.11,46317.12,..
"Rainfed Palay","....Zamboanga del Sur",92074.00,82850.00,82388.00,73984.00,101827.00,96234.00,137429.00,86456.00,91598.00,101476.00,68125.00,75263.00,72327.00,105978.00,108167.00,81515.00,89810.00,92185.00,93458.00,65798.00,75493.00,60340.00,52857.00,55079.00,59929.00,69582.00,68653.00,72609.00,72479.00,63385.00,89147.00,112707.46,88746.26,92536.35,92989.36,86114.57,106076.85,106057.33,..
"Rainfed Palay","....Zamboanga Sibugay",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49759.00,52666.00,63060.00,53392.00,55590.00,68973.00,73119.00,81150.00,74099.00,95123.00,94548.00,95224.00,95827.00,95453.00,84327.50,102740.00,98132.74,94139.77,92316.35,93027.55,94369.70,86376.33,83063.16,..
"Rainfed Palay","....Zamboanga City",3612.00,5460.00,7859.00,8967.00,9500.00,5548.00,4941.00,8995.00,10113.00,12989.00,8438.00,4975.00,7313.00,7151.00,7129.00,4865.00,4580.00,4313.00,4225.00,4554.00,5537.00,5351.00,5807.00,5715.00,7638.00,8042.00,7819.00,7641.00,6617.00,7170.00,7450.00,7234.70,5393.80,5683.44,0.00,0.00,0.00,0.00,..
"Rainfed Palay","..REGION X (NORTHERN MINDANAO)",44465.00,41366.00,48880.00,30948.00,52705.00,30293.00,31537.00,56931.00,41368.00,46817.00,39829.00,33306.00,42054.00,37810.00,47029.00,47973.00,35602.00,38277.00,30709.00,31513.00,35870.00,43307.00,51692.00,50747.00,59879.00,62922.00,65219.00,70650.00,69594.00,63579.00,73650.50,75962.83,75125.43,85103.31,84445.04,93823.54,99656.34,109640.04,..
"Rainfed Palay","....Bukidnon",34410.00,24839.00,40349.00,25250.00,40914.00,22930.00,21724.00,23621.00,10018.00,9704.00,6381.00,5358.00,6094.00,3924.00,4590.00,5740.00,4425.00,4292.00,4963.00,7088.00,13368.00,17897.00,23306.00,24918.00,31468.00,32780.00,36001.00,39824.00,40221.00,35731.00,46496.00,49266.83,50222.05,58241.64,58551.86,64242.81,67440.78,72974.21,..
"Rainfed Palay","....Camiguin",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,18.00,9.00,9.00,12.00,11.00,7.00,7.00,9.00,5.00,12.00,12.00,12.00,9.00,3.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,..
"Rainfed Palay","....Lanao del Norte",3666.00,12148.00,5594.00,3297.00,10348.00,6139.00,8256.00,29851.00,26976.00,31883.00,29492.00,26968.00,34840.00,32425.00,41050.00,39423.00,29301.00,31632.00,23259.00,21810.00,18729.00,19755.00,22472.00,19961.00,22162.00,24072.00,22383.00,23586.00,22360.00,21666.00,20510.00,21540.00,20241.30,21910.90,22274.08,26028.85,28978.01,34170.08,..
"Rainfed Palay","....Misamis Occidental",4578.00,1160.00,537.00,994.00,547.00,125.00,742.00,1498.00,2469.00,2625.00,1898.00,680.00,756.00,1011.00,785.00,1992.00,1120.00,1580.00,1825.00,1853.00,2799.00,4238.00,4082.00,4812.00,4831.00,4967.00,5708.00,5760.00,5688.00,5345.00,5545.00,4063.00,3818.50,3622.60,2586.40,2407.35,2248.00,1624.40,..
"Rainfed Palay","....Misamis Oriental",1811.00,3219.00,2400.00,1407.00,896.00,1099.00,815.00,1961.00,1905.00,2605.00,2058.00,300.00,364.00,443.00,586.00,809.00,747.00,761.00,651.00,755.00,967.00,1408.00,1827.00,1044.00,1406.00,1091.00,1118.00,1477.00,1322.00,836.00,1099.50,1093.00,843.58,1328.17,1032.70,1144.53,989.55,870.60,..
"Rainfed Palay","..REGION XI (DAVAO REGION)",96499.00,107812.00,135930.00,102730.00,67919.00,25544.00,40866.00,20863.00,38329.00,49612.00,37104.00,21269.00,44874.00,35281.00,39474.00,43578.00,52050.00,49291.00,37232.00,48266.00,40044.00,40867.00,37435.00,35596.00,37790.00,43268.00,44390.00,45474.00,32815.00,32420.00,40415.00,45016.03,42869.57,44446.67,46526.21,47308.27,46670.54,50078.93,..
"Rainfed Palay","....Davao de Oro (Compostela Valley)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8951.00,13262.00,14815.00,9082.00,14064.00,12943.00,12778.00,11156.00,12459.00,13926.00,16579.00,15657.00,15860.00,11212.00,12813.00,15832.00,19272.02,18667.00,20239.10,20422.00,20455.62,19289.55,19351.00,..
"Rainfed Palay","....Davao del Norte",69183.00,85102.00,110581.00,64110.00,49940.00,7983.00,25809.00,9166.00,14262.00,16497.00,13271.00,9638.00,17371.00,11277.00,12440.00,3391.00,4995.00,4825.00,4396.00,4126.00,6144.00,7008.00,10497.00,6721.00,7408.00,8400.00,10740.00,10164.00,7174.00,6800.00,8559.00,9066.01,9269.36,8884.38,11183.64,11990.73,12022.76,15006.70,..
"Rainfed Palay","....Davao del Sur",8908.00,6687.00,10176.00,25210.00,10078.00,9661.00,1610.00,905.00,741.00,3692.00,1083.00,0.00,1912.00,1957.00,1977.00,4465.00,3725.00,3833.00,2965.00,5070.00,2700.00,1606.00,1328.00,1326.00,445.00,525.00,778.00,875.00,881.00,595.00,1206.00,1347.00,0.00,34.00,3533.00,3466.27,3455.35,3748.68,..
"Rainfed Palay","....Davao Occidental",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,508.40,920.76,618.26,516.72,502.11,423.36,..
"Rainfed Palay","....Davao Oriental",2371.00,1786.00,1917.00,1662.00,1520.00,1922.00,4176.00,5333.00,5246.00,6349.00,6718.00,2701.00,7018.00,7836.00,7023.00,7873.00,11243.00,11221.00,9880.00,11341.00,9663.00,13681.00,9455.00,10445.00,10346.00,12192.00,11930.00,13136.00,9810.00,9692.00,11455.00,11264.00,11131.15,10583.95,10769.32,10878.92,11400.77,11549.20,..
"Rainfed Palay","....City of Davao",16037.00,14237.00,13256.00,11748.00,6381.00,5978.00,9271.00,5459.00,18080.00,23074.00,16032.00,8930.00,18573.00,14211.00,18034.00,18898.00,18825.00,14597.00,10909.00,13665.00,8594.00,5794.00,4999.00,4645.00,5665.00,5572.00,5285.00,5439.00,3738.00,2520.00,3363.00,4067.00,3293.66,3784.48,0.00,0.00,0.00,0.00,..
"Rainfed Palay","..REGION XII (SOCCSKSARGEN)",154412.00,156327.00,161920.00,125674.00,126059.00,87700.00,87495.00,174004.00,234955.00,242768.00,170484.00,114854.00,152511.00,154856.00,142688.00,149522.00,135219.00,158337.00,163048.00,187415.00,194302.00,236367.00,232045.00,200072.00,226539.00,241940.00,245787.00,249363.00,222198.00,197495.00,217935.00,221114.70,179086.47,204365.83,210567.01,201006.45,208156.72,206632.00,..
"Rainfed Palay","....Cotabato (North Cotabato)",43568.00,48915.00,71170.00,24168.00,26245.00,22856.00,29137.00,70224.00,117631.00,131465.00,94004.00,71788.00,93061.00,95031.00,96131.00,88188.00,74919.00,92429.00,100529.00,103394.00,96102.00,123982.00,117069.00,102271.00,113067.00,118450.00,112349.00,111360.00,97735.00,85222.00,98108.00,104344.00,82409.00,96533.28,97588.00,93691.18,100050.00,97353.00,..
"Rainfed Palay","....Sarangani",0.00,0.00,0.00,0.00,0.00,0.00,0.00,9106.00,9713.00,10519.00,9001.00,7498.00,5011.00,6917.00,8059.00,11768.00,10245.00,8823.00,8376.00,11394.00,13696.00,10732.00,13547.00,13264.00,13694.00,13541.00,11849.00,12468.00,11908.00,9514.00,8569.00,7703.70,6723.00,6532.39,6731.01,6399.14,6439.97,6518.00,..
"Rainfed Palay","....South Cotabato",27675.00,37231.00,28584.00,25221.00,39143.00,25481.00,14152.00,39141.00,54868.00,42124.00,24947.00,12196.00,25779.00,27094.00,20004.00,22182.00,21341.00,24590.00,26267.00,35499.00,35563.00,35701.00,40628.00,33468.00,42152.00,44920.00,49642.00,52204.00,45212.00,42245.00,52173.00,46488.00,37038.00,43881.16,47007.00,44525.52,47842.32,51686.00,..
"Rainfed Palay","....Sultan Kudarat",83169.00,70181.00,62166.00,76285.00,60671.00,39363.00,44206.00,55533.00,52743.00,58660.00,42532.00,23372.00,28660.00,25814.00,18494.00,27384.00,28714.00,32495.00,27876.00,37128.00,48941.00,65952.00,60801.00,51069.00,57626.00,65029.00,71947.00,73331.00,67343.00,60514.00,59085.00,62579.00,52916.47,57419.00,59241.00,56390.61,53824.43,51075.00,..
"Rainfed Palay","..REGION XIII (CARAGA)",85457.00,75979.00,77964.00,86199.00,93915.00,51776.00,85881.00,87337.00,170979.00,132754.00,84975.00,48673.00,77339.00,86612.00,98926.00,88640.00,94410.00,90828.00,98227.00,110390.00,129437.00,135111.00,134294.50,123620.00,135295.00,171730.30,229970.00,218542.00,172474.50,151074.00,176290.00,175642.52,159375.85,168688.88,170717.36,207796.11,203373.43,216179.77,..
"Rainfed Palay","....Agusan del Norte",28888.00,20756.00,25203.00,21873.00,38271.00,3480.00,30170.00,17695.00,49435.00,49455.00,21324.00,894.00,14151.00,17070.00,23776.00,21315.00,20389.00,20876.00,21230.00,21101.00,27853.00,25471.00,19274.00,15240.00,14687.00,13912.30,18981.00,20486.00,14753.00,14550.00,14742.00,15351.78,13111.00,7696.74,7775.00,10405.74,13272.28,13447.60,..
"Rainfed Palay","....Agusan del Sur",23669.00,19425.00,20095.00,31200.00,16815.00,24684.00,22529.00,43948.00,68240.00,45766.00,35107.00,31269.00,41086.00,43002.00,45185.00,40255.00,37016.00,36265.00,42476.00,50993.00,58689.00,69435.00,64177.50,65529.00,84359.00,113882.00,157907.00,146494.00,108854.00,99114.00,114957.00,115247.70,103113.04,119103.44,120656.35,151365.41,139115.87,145614.20,..
"Rainfed Palay","....Dinagat Islands",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,503.00,2272.00,1493.00,1454.00,1997.00,1809.00,1770.00,1656.00,2105.00,2353.90,2048.90,2290.90,2184.77,2288.81,2406.28,2803.46,..
